"ADM 4325, Promotional Planning Practicum "
"ADM 4326, Digital Marketing Technologies "
"ADM 4328, International Marketing "
"ADM 4329, Personal Selling "
"ADM 4336, Occupational Health and Safety "
"ADM 4337, Managing Change "
"ADM 4338, International Training and Development for Sustainability "
"ADM 4339, Strategic Human Resources Planning "
"ADM 4340, Cases Studies in Accounting "
"ADM 4341, Advanced Auditing "
"ADM 4342, Seminar in Accounting Theory "
"ADM 4343, Data Analytics in Accounting "
"ADM 4344, Taxation II "
"ADM 4345, Management Control Systems "
"ADM 4346, Auditing in a digital environment "
"ADM 4348, Special Topics in Financial Accounting "
"ADM 4349, Advanced Accounting "
"ADM 4350, Equity Valuation "
"ADM 4351, Options and Futures "
"ADM 4352, Advanced Corporate Finance "
"ADM 4354, International Financial Management "
"ADM 4355, Finance, Ethics and Social Responsibility "
"ADM 4356, Alternative Investments and Risk Management "
"ADM 4357, Applied Investment Fund Management Module II "
"ADM 4358, Mergers and Acquisitions "
"ADM 4363, Business Optimization Analytics "
"ADM 4377, Digital Enterprise Systems and Strategies "
"ADM 4378, Business Communications Networks "
"ADM 4379, Management and Implementation of Web Technologies in Organizations "
"ADM 4396, Seminar in Administration "
"ADM 4503, Gestion de projets "
"ADM 4513, Conseiller les entreprises familiales "
"ADM 4707, Analytique des prévisions en gestion "
"ADM 4710, Gestion des entreprises scientifiques et technologiques "
"ADM 4711, Management stratégique "
"ADM 4712, Gérer dans la nouvelle économie "
"ADM 4715, Entrepreneuriat stratégique "
"ADM 4716, La gestion de l'innovation "
"ADM 4717, Leadership, stratégie et durabilité "
"ADM 4718, Politiques des firmes multinationales "
"ADM 4719, Gestion stratégique dans les économies en développement et émergence "
"ADM 4722, Stratégie du marketing "
"ADM 4725, Projet de planification promotionnelle "
"ADM 4726, Marketing et technologies numériques "
"ADM 4728, Marketing international "
"ADM 4729, Ventes et relations d'affaires "
"ADM 4736, Santé et sécurité au travail "
"ADM 4737, Changement et développement des organisations "
"ADM 4738, Formation et développement internationaux pour la durabilité "
"ADM 4739, Planification stratégique des ressources humaines "
"ADM 4740, Études de cas en comptabilité "
"ADM 4741, Vérification avancée "
"ADM 4742, Séminaire en théorie comptable "
"ADM 4743, Analyse des données en comptabilité "
"ADM 4744, Fiscalité II "
"ADM 4745, Systèmes de contrôle de gestion "
"ADM 4746, L’audit dans un environnement numérique "
"ADM 4748, Sujets spécialisés en comptabilité financière "
"ADM 4749, Comptabilité spécialisée "
"ADM 4750, Évaluation d'entreprises "
"ADM 4751, Options et contrats à terme "
"ADM 4752, Gestion financière avancée "
"ADM 4754, Gestion financière internationale "
"ADM 4755, Finances, éthique et responsabilité sociale "
"ADM 4756, Les placements alternatifs et la gestion du risque "
"ADM 4757, Module appliquée d'analyse des investissements II "
"ADM 4758, Fusions et Acquisitions "
"ADM 4763, L’optimisation pour l’analytique de gestion "
"ADM 4777, Systèmes et stratégies de l'entreprise numérique "
"ADM 4778, Réseaux de communication d'affaires "
"ADM 4779, Gestion et mise en place des technologies web dans les organisations "
"ADM 4797, Séminaire en administration "
"ADM 4901, Stage coop / Co-op Work Term "
"ADM 4902, Stage coop / Co-op Work Term "
"ADM 4903, Stage sur la création d'une entreprise / New Venture Creation in Practicum "
"ADM 4904, Connexions I / Connexions I "
"ADM 4905, Connexions II / Connexions II "
"ADM 4964, L’application de l’analytique de gestion / Application of Business Analytics "
"ADM 4994, Préparation et participation à la compétition de cas d'affaires II / Preparation and Participation to business Cases II "
"ADM 4998, Lectures dirigées en gestion I / Directed Readings in Management I "
"ADM 4999, Lectures dirigées en gestion II / Directed Readings in Management II "
"ADM 5300, Data Analysis "
"ADM 5310, Public Sector and Business "
"ADM 5320, Marketing "
"ADM 5330, Organizational Behavior "
"ADM 5331, Human Resource Management "
"ADM 5341, Financial Accounting "
"ADM 5342, Managerial Accounting "
"ADM 5350, Principles of Finance "
"ADM 5351, Managerial Microeconomics "
"ADM 5352, Managerial Macroeconomics "
"ADM 5360, Strategic Management and Policy I "
"ADM 5361, Strategic Management and Policy II "
"ADM 5370, Information Management "
"ADM 5380, Decision Models for Operations Management "
"ADM 5700, Analyse des données "
"ADM 5710, Le secteur public et le monde des affaires "
